"Date","Price","Open","High","Low","Vol.","Change %"
"11/12/2021","4,433.40","4,447.54","4,458.84","4,421.24","","-0.32%"
"11/11/2021","4,447.54","4,381.21","4,447.90","4,371.94","","1.51%"
"11/10/2021","4,381.21","4,410.30","4,410.30","4,317.91","","-0.66%"
"11/09/2021","4,410.30","4,411.04","4,433.66","4,387.07","","-0.02%"
"11/08/2021","4,411.04","4,400.81","4,427.32","4,390.83","","0.23%"
"11/05/2021","4,400.81","4,428.39","4,445.79","4,400.14","","-0.62%"
"11/04/2021","4,428.39","4,383.22","4,433.27","4,383.22","","1.03%"
"11/03/2021","4,383.22","4,403.01","4,419.36","4,366.83","","-0.45%"
"11/02/2021","4,403.01","4,443.72","4,465.34","4,365.35","","-0.92%"
"11/01/2021","4,443.72","4,464.42","4,464.97","4,419.99","","-0.46%"
"10/29/2021","4,464.42","4,416.70","4,464.42","4,408.46","","1.08%"
"10/28/2021","4,416.70","4,449.22","4,451.40","4,400.63","","-0.73%"
"10/27/2021","4,449.22","4,496.43","4,496.43","4,435.93","","-1.05%"
"10/26/2021","4,496.43","4,510.93","4,539.65","4,488.24","","-0.32%"
"10/25/2021","4,510.93","4,491.12","4,513.50","4,472.21","","0.44%"
"10/22/2021","4,491.12","4,466.98","4,519.73","4,466.98","","0.54%"
"10/21/2021","4,466.98","4,452.92","4,482.61","4,435.77","","0.32%"
"10/20/2021","4,452.92","4,462.32","4,480.05","4,442.10","","-0.21%"
"10/19/2021","4,462.32","4,422.92","4,465.56","4,421.24","","0.89%"
"10/18/2021","4,422.92","4,464.36","4,464.36","4,391.16","","-0.93%"
"10/15/2021","4,464.36","4,438.24","4,469.24","4,408.13","","0.59%"
"10/14/2021","4,438.24","4,461.20","4,473.04","4,427.91","","-0.51%"
"10/13/2021","4,461.20","4,404.02","4,471.23","4,391.89","","1.30%"
"10/12/2021","4,404.02","4,448.34","4,448.34","4,365.26","","-1.00%"
"10/11/2021","4,448.34","4,451.08","4,491.97","4,443.86","","-0.06%"
"10/08/2021","4,451.08","4,403.99","4,464.11","4,403.99","","1.07%"
"09/30/2021","4,403.99","4,363.33","4,411.89","4,363.33","","0.93%"
"09/29/2021","4,363.33","4,404.85","4,404.85","4,333.23","","-0.94%"
"09/28/2021","4,404.85","4,404.86","4,422.80","4,376.89","","0.00%"
"09/27/2021","4,404.86","4,379.50","4,446.08","4,378.11","","0.58%"
"09/24/2021","4,379.50","4,380.27","4,423.18","4,367.62","","-0.02%"
"09/23/2021","4,380.27","4,359.40","4,406.41","4,359.40","","0.48%"
"09/22/2021","4,359.40","4,386.43","4,386.43","4,305.79","","-0.62%"
"09/17/2021","4,386.43","4,344.89","4,388.13","4,324.09","","0.96%"
"09/16/2021","4,344.89","4,404.98","4,415.16","4,344.83","","-1.36%"
"09/15/2021","4,404.98","4,450.87","4,450.87","4,383.46","","-1.03%"
"09/14/2021","4,450.87","4,505.74","4,524.06","4,442.04","","-1.22%"
"09/13/2021","4,505.74","4,521.76","4,538.34","4,480.42","","-0.35%"
"09/10/2021","4,521.76","4,486.99","4,540.62","4,475.76","","0.77%"
"09/09/2021","4,486.99","4,485.29","4,487.14","4,448.07","","0.04%"
"09/08/2021","4,485.29","4,506.18","4,525.62","4,471.91","","-0.46%"
"09/07/2021","4,506.18","4,453.99","4,516.79","4,438.68","","1.17%"
"09/06/2021","4,453.99","4,371.44","4,462.12","4,366.41","","1.89%"
"09/03/2021","4,371.44","4,392.55","4,410.36","4,356.94","","-0.48%"
"09/02/2021","4,392.55","4,385.30","4,408.63","4,371.30","","0.17%"
"09/01/2021","4,385.30","4,342.60","4,417.64","4,303.72","","0.98%"
"08/31/2021","4,342.60","4,351.54","4,359.95","4,281.66","","-0.21%"
"08/30/2021","4,351.54","4,361.37","4,377.24","4,327.81","","-0.23%"
"08/27/2021","4,361.37","4,335.77","4,390.75","4,328.59","","0.59%"
"08/26/2021","4,335.77","4,418.49","4,418.49","4,333.29","","-1.87%"
"08/25/2021","4,418.49","4,397.01","4,418.52","4,382.74","","0.49%"
"08/24/2021","4,397.01","4,349.10","4,412.80","4,349.10","","1.10%"
"08/23/2021","4,349.10","4,284.26","4,354.73","4,283.76","","1.51%"
"08/20/2021","4,284.26","4,371.98","4,371.98","4,242.02","","-2.01%"
"08/19/2021","4,371.98","4,399.79","4,399.79","4,346.33","","-0.63%"
"08/18/2021","4,399.79","4,352.74","4,415.07","4,336.47","","1.08%"
"08/17/2021","4,352.74","4,446.90","4,471.06","4,340.89","","-2.12%"
"08/16/2021","4,446.90","4,461.69","4,477.69","4,437.45","","-0.33%"
"08/13/2021","4,461.69","4,478.82","4,505.69","4,437.91","","-0.38%"
"08/12/2021","4,478.82","4,519.18","4,519.18","4,467.91","","-0.89%"
"08/11/2021","4,519.18","4,538.58","4,554.56","4,513.96","","-0.43%"
"08/10/2021","4,538.58","4,492.16","4,538.68","4,449.15","","1.03%"
"08/09/2021","4,492.16","4,443.46","4,508.71","4,406.81","","1.10%"
"08/06/2021","4,443.46","4,462.53","4,462.53","4,417.77","","-0.43%"
"08/05/2021","4,462.53","4,487.10","4,499.13","4,435.87","","-0.55%"
"08/04/2021","4,487.10","4,438.96","4,487.31","4,424.09","","1.08%"
"08/03/2021","4,438.96","4,443.97","4,457.93","4,400.56","","-0.11%"
"08/02/2021","4,443.97","4,335.68","4,449.38","4,292.33","","2.50%"
